node,node,cost
S1,S1,15
S1,S2,17
S1,S3,25
S1,S4,28
S1,S5,32
S1,S6,35
S1,S7,40
S1,S8,43
S1,S9,47
S1,S10,47
S1,S11,62
S1,S12,62
S1,S13,62
S1,S14,62
S2,S2,15
S2,S3,17
S2,S4,25
S2,S5,28
S2,S6,32
S2,S7,35
S2,S8,40
S2,S9,43
S2,S10,47
S2,S11,62
S2,S12,62
S2,S13,62
S2,S14,62
S2,CEN,0
S3,S3,15
S3,S4,17
S3,S5,25
S3,S6,28
S3,S7,32
S3,S8,35
S3,S9,40
S3,S10,43
S3,S11,58
S3,S12,58
S3,S13,58
S3,S14,58
S4,S4,15
S4,S5,17
S4,S6,25
S4,S7,28
S4,S8,32
S4,S9,35
S4,S10,40
S4,S11,55
S4,S12,55
S4,S13,55
S4,S14,55
S5,S5,15
S5,S6,17
S5,S7,25
S5,S8,28
S5,S9,32
S5,S10,35
S5,S11,50
S5,S12,50
S5,S13,50
S5,S14,50
S6,S6,15
S6,S7,17
S6,S8,25
S6,S9,28
S6,S10,32
S6,S11,47
S6,S12,47
S6,S13,47
S6,S14,47
S7,S7,15
S7,S8,17
S7,S9,25
S7,S10,28
S7,S11,43
S7,S12,43
S7,S13,43
S7,S14,43
S7,G01,0
S8,S8,15
S8,S9,17
S8,S10,17
S8,S11,32
S8,S12,32
S8,S13,32
S8,S14,32
S9,S9,15
S9,S10,17
S9,S11,32
S9,S12,32
S9,S13,32
S9,S14,32
S9,G01,0
S10,S10,15
S10,S11,15
S10,S12,15
S10,S13,15
S10,S14,15
S11,S11,15
S11,S12,15
S11,S13,15
S11,S14,15
S12,S12,15
S12,S13,15
S12,S14,15
S13,S13,15
S13,S14,15
S14,S14,15
S14,BL34,0
YL01,YL01,15
YL01,YL02,19
YL01,YL03,23
YL01,YL04,27
YL01,YL05,30
YL01,YL06,33
YL01,YL07,36
YL01,YL08,39
YL01,YL09,42
YL01,YL10,45
YL01,YL11,45
YL01,YL12,45
YL01,YL13,45
YL01,YL14,45
YL01,YL15,45
YL01,YL16,45
YL01,YL17,45
YL01,YL18,45
YL01,YL19,45
YL01,YL20,45
YL01,YL21,45
YL01,YL22,45
YL01,YL23,45
YL01,BL15,0
YL02,YL02,15
YL02,YL03,19
YL02,YL04,24
YL02,YL05,26
YL02,YL06,29
YL02,YL07,31
YL02,YL08,36
YL02,YL09,39
YL02,YL10,42
YL02,YL11,45
YL02,YL12,45
YL02,YL13,45
YL02,YL14,45
YL02,YL15,45
YL02,YL16,45
YL02,YL17,45
YL02,YL18,45
YL02,YL19,45
YL02,YL20,45
YL02,YL21,45
YL02,YL22,45
YL02,YL23,45
YL03,YL03,15
YL03,YL04,21
YL03,YL05,23
YL03,YL06,26
YL03,YL07,28
YL03,YL08,31
YL03,YL09,35
YL03,YL10,39
YL03,YL11,43
YL03,YL12,45
YL03,YL13,45
YL03,YL14,45
YL03,YL15,45
YL03,YL16,45
YL03,YL17,45
YL03,YL18,45
YL03,YL19,45
YL03,YL20,45
YL03,YL21,45
YL03,YL22,45
YL03,YL23,45
YL04,YL04,15
YL04,YL05,18
YL04,YL06,22
YL04,YL07,24
YL04,YL08,27
YL04,YL09,30
YL04,YL10,33
YL04,YL11,38
YL04,YL12,42
YL04,YL13,45
YL04,YL14,45
YL04,YL15,45
YL04,YL16,45
YL04,YL17,45
YL04,YL18,45
YL04,YL19,45
YL04,YL20,45
YL04,YL21,45
YL04,YL22,45
YL04,YL23,45
YL05,YL05,15
YL05,YL06,19
YL05,YL07,22
YL05,YL08,25
YL05,YL09,28
YL05,YL10,31
YL05,YL11,36
YL05,YL12,40
YL05,YL13,44
YL05,YL14,45
YL05,YL15,45
YL05,YL16,45
YL05,YL17,45
YL05,YL18,45
YL05,YL19,45
YL05,YL20,45
YL05,YL21,45
YL05,YL22,45
YL05,YL23,45
YL06,YL06,15
YL06,YL07,18
YL06,YL08,22
YL06,YL09,25
YL06,YL10,28
YL06,YL11,32
YL06,YL12,37
YL06,YL13,41
YL06,YL14,44
YL06,YL15,45
YL06,YL16,45
YL06,YL17,45
YL06,YL18,45
YL06,YL19,45
YL06,YL20,45
YL06,YL21,45
YL06,YL22,45
YL06,YL23,45
YL07,YL07,15
YL07,YL08,19
YL07,YL09,23
YL07,YL10,26
YL07,YL11,30
YL07,YL12,33
YL07,YL13,39
YL07,YL14,42
YL07,YL15,45
YL07,YL16,45
YL07,YL17,45
YL07,YL18,45
YL07,YL19,45
YL07,YL20,45
YL07,YL21,45
YL07,YL22,45
YL07,YL23,45
YL08,YL08,15
YL08,YL09,18
YL08,YL10,23
YL08,YL11,27
YL08,YL12,30
YL08,YL13,35
YL08,YL14,38
YL08,YL15,41
YL08,YL16,45
YL08,YL17,45
YL08,YL18,45
YL08,YL19,45
YL08,YL20,45
YL08,YL21,45
YL08,YL22,45
YL08,YL23,45
YL09,YL09,15
YL09,YL10,19
YL09,YL11,24
YL09,YL12,27
YL09,YL13,31
YL09,YL14,35
YL09,YL15,38
YL09,YL16,42
YL09,YL17,45
YL09,YL18,45
YL09,YL19,45
YL09,YL20,45
YL09,YL21,45
YL09,YL22,45
YL09,YL23,45
YL10,YL10,15
YL10,YL11,21
YL10,YL12,24
YL10,YL13,28
YL10,YL14,31
YL10,YL15,35
YL10,YL16,39
YL10,YL17,42
YL10,YL18,45
YL10,YL19,45
YL10,YL20,45
YL10,YL21,45
YL10,YL22,45
YL10,YL23,45
YL11,YL11,15
YL11,YL12,19
YL11,YL13,24
YL11,YL14,27
YL11,YL15,30
YL11,YL16,35
YL11,YL17,38
YL11,YL18,41
YL11,YL19,45
YL11,YL20,45
YL11,YL21,45
YL11,YL22,45
YL11,YL23,45
YL12,YL12,15
YL12,YL13,21
YL12,YL14,24
YL12,YL15,27
YL12,YL16,31
YL12,YL17,33
YL12,YL18,38
YL12,YL19,42
YL12,YL20,45
YL12,YL21,45
YL12,YL22,45
YL12,YL23,45
YL13,YL13,15
YL13,YL14,18
YL13,YL15,22
YL13,YL16,27
YL13,YL17,29
YL13,YL18,33
YL13,YL19,38
YL13,YL20,41
YL13,YL21,44
YL13,YL22,45
YL13,YL23,45
YL14,YL14,15
YL14,YL15,18
YL14,YL16,24
YL14,YL17,26
YL14,YL18,30
YL14,YL19,35
YL14,YL20,38
YL14,YL21,41
YL14,YL22,45
YL14,YL23,45
YL15,YL15,15
YL15,YL16,21
YL15,YL17,23
YL15,YL18,27
YL15,YL19,31
YL15,YL20,35
YL15,YL21,38
YL15,YL22,42
YL15,YL23,45
YL16,YL16,15
YL16,YL17,18
YL16,YL18,23
YL16,YL19,27
YL16,YL20,30
YL16,YL21,33
YL16,YL22,38
YL16,YL23,45
YL17,YL17,15
YL17,YL18,19
YL17,YL19,24
YL17,YL20,28
YL17,YL21,30
YL17,YL22,36
YL17,YL23,40
YL18,YL18,15
YL18,YL19,19
YL18,YL20,24
YL18,YL21,27
YL18,YL22,31
YL18,YL23,36
YL19,YL19,15
YL19,YL20,19
YL19,YL21,23
YL19,YL22,27
YL19,YL23,32
YL20,YL20,15
YL20,YL21,18
YL20,YL22,24
YL20,YL23,28
YL21,YL21,15
YL21,YL22,21
YL21,YL23,25
YL22,YL22,15
YL22,YL23,21
YL23,YL23,15
YL23,E15,0
PP01,PP02,17
PP01,PP03,20
PP01,PP04,20
PP01,PP05,20
PP01,PP06,20
PP01,PP07,20
PP01,PP08,20
PP01,PP09,20
PP01,PP10,20
PP01,PP11,20
PP01,PP12,20
PP01,PP13,20
PP01,PP14,20
PP01,PP15,20
PP01,PP16,20
PP02,PP02,14
PP02,PP03,17
PP02,PP04,20
PP02,PP05,20
PP02,PP06,20
PP02,PP07,20
PP02,PP08,20
PP02,PP09,20
PP02,PP10,20
PP02,PP11,20
PP02,PP12,20
PP02,PP13,20
PP02,PP14,20
PP02,PP15,20
PP02,PP16,20
PP03,PP03,14
PP03,PP04,17
PP03,PP05,20
PP03,PP06,20
PP03,PP07,20
PP03,PP08,20
PP03,PP09,20
PP03,PP10,20
PP03,PP11,20
PP03,PP12,20
PP03,PP13,20
PP03,PP14,20
PP03,PP15,20
PP03,PP16,20
PP04,PP04,14
PP04,PP05,16
PP04,PP06,20
PP04,PP07,20
PP04,PP08,20
PP04,PP09,20
PP04,PP10,20
PP04,PP11,20
PP04,PP12,20
PP04,PP13,20
PP04,PP14,20
PP04,PP15,20
PP04,PP16,20
PP05,PP05,14
PP05,PP06,16
PP05,PP07,20
PP05,PP08,20
PP05,PP09,20
PP05,PP10,20
PP05,PP11,20
PP05,PP12,20
PP05,PP13,20
PP05,PP14,20
PP05,PP15,20
PP05,PP16,20
PP06,PP06,14
PP06,PP07,17
PP06,PP08,20
PP06,PP09,20
PP06,PP10,20
PP06,PP11,20
PP06,PP12,20
PP06,PP13,20
PP06,PP14,20
PP06,PP15,20
PP06,PP16,20
PP07,PP07,14
PP07,PP08,17
PP07,PP09,20
PP07,PP10,20
PP07,PP11,20
PP07,PP12,20
PP07,PP13,20
PP07,PP14,20
PP07,PP15,20
PP07,PP16,20
PP08,PP08,14
PP08,PP09,17
PP08,PP10,20
PP08,PP11,20
PP08,PP12,20
PP08,PP13,20
PP08,PP14,20
PP08,PP15,20
PP08,PP16,20
PP09,PP09,14
PP09,PP10,16
PP09,PP11,20
PP09,PP12,20
PP09,PP13,20
PP09,PP14,20
PP09,PP15,20
PP09,PP16,20
PP10,PP10,14
PP10,PP11,16
PP10,PP12,20
PP10,PP13,20
PP10,PP14,20
PP10,PP15,20
PP10,PP16,20
PP11,PP11,14
PP11,PP12,17
PP11,PP13,20
PP11,PP14,20
PP11,PP15,20
PP11,PP16,20
PP11,PK01,0
PP12,PP12,14
PP12,PP13,16
PP12,PP14,20
PP12,PP15,20
PP12,PP16,20
PP13,PP13,14
PP13,PP14,17
PP13,PP15,20
PP13,PP16,20
PP14,PP14,14
PP14,PP15,17
PP14,PP16,20
PP15,PP15,14
PP15,PP16,17
PP16,PP16,14
PP16,BL10,0
PK01,PK01,15
PK01,PK02,18
PK01,PK03,23
PK01,PK04,28
PK01,PK05,30
PK01,PK06,34
PK01,PK07,37
PK01,PK08,41
PK01,PK09,44
PK01,PK10,45
PK01,PK11,45
PK01,PK12,45
PK01,PK14,45
PK01,PK15,45
PK01,PK16,45
PK01,PK17,45
PK01,PK18,45
PK01,PK19,45
PK01,PK20,45
PK01,PK21,45
PK01,PK22,45
PK01,PK23,45
PK01,PK24,45
PK01,PK25,45
PK01,PK26,45
PK01,PK27,45
PK01,PK28,45
PK01,PK29,45
PK01,PK30,45
PK01,PP11,0
PK02,PK02,15
PK02,PK03,19
PK02,PK04,25
PK02,PK05,28
PK02,PK06,30
PK02,PK07,34
PK02,PK08,38
PK02,PK09,41
PK02,PK10,44
PK02,PK11,45
PK02,PK12,45
PK02,PK13,45
PK02,PK14,45
PK02,PK15,45
PK02,PK16,45
PK02,PK17,45
PK02,PK18,45
PK02,PK19,45
PK02,PK20,45
PK02,PK21,45
PK02,PK22,45
PK02,PK23,45
PK02,PK24,45
PK02,PK25,45
PK02,PK26,45
PK02,PK27,45
PK02,PK28,45
PK02,PK29,45
PK02,PK30,45
PK03,PK03,15
PK03,PK04,21
PK03,PK05,24
PK03,PK06,26
PK03,PK07,29
PK03,PK08,34
PK03,PK09,38
PK03,PK10,40
PK03,PK11,44
PK03,PK12,45
PK03,PK13,45
PK03,PK14,45
PK03,PK15,45
PK03,PK16,45
PK03,PK17,45
PK03,PK18,45
PK03,PK19,45
PK03,PK20,45
PK03,PK21,45
PK03,PK22,45
PK03,PK23,45
PK03,PK24,45
PK03,PK25,45
PK03,PK26,45
PK03,PK27,45
PK03,PK28,45
PK03,PK29,45
PK03,PK30,45
PK04,PK04,15
PK04,PK05,18
PK04,PK06,22
PK04,PK07,25
PK04,PK08,29
PK04,PK09,32
PK04,PK10,36
PK04,PK11,39
PK04,PK12,41
PK04,PK13,44
PK04,PK14,45
PK04,PK15,45
PK04,PK16,45
PK04,PK17,45
PK04,PK18,45
PK04,PK19,45
PK04,PK20,45
PK04,PK21,45
PK04,PK22,45
PK04,PK23,45
PK04,PK24,45
PK04,PK25,45
PK04,PK26,45
PK04,PK27,45
PK04,PK28,45
PK04,PK29,45
PK04,PK30,45
PK05,PK05,15
PK05,PK06,18
PK05,PK07,22
PK05,PK08,26
PK05,PK09,29
PK05,PK10,32
PK05,PK11,36
PK05,PK12,39
PK05,PK13,41
PK05,PK14,43
PK05,PK15,45
PK05,PK16,45
PK05,PK17,45
PK05,PK18,45
PK05,PK19,45
PK05,PK20,45
PK05,PK21,45
PK05,PK22,45
PK05,PK23,45
PK05,PK24,45
PK05,PK25,45
PK05,PK26,45
PK05,PK27,45
PK05,PK28,45
PK05,PK29,45
PK05,PK30,45
PK06,PK06,15
PK06,PK07,18
PK06,PK08,23
PK06,PK09,27
PK06,PK10,29
PK06,PK11,34
PK06,PK12,36
PK06,PK13,39
PK06,PK14,41
PK06,PK15,43
PK06,PK16,45
PK06,PK17,45
PK06,PK18,45
PK06,PK19,45
PK06,PK20,45
PK06,PK21,45
PK06,PK22,45
PK06,PK23,45
PK06,PK24,45
PK06,PK25,45
PK06,PK26,45
PK06,PK27,45
PK06,PK28,45
PK06,PK29,45
PK06,PK30,45
PK07,PK07,15
PK07,PK08,19
PK07,PK09,24
PK07,PK10,26
PK07,PK11,30
PK07,PK12,32
PK07,PK13,36
PK07,PK14,38
PK07,PK15,40
PK07,PK16,43
PK07,PK17,45
PK07,PK18,45
PK07,PK19,45
PK07,PK20,45
PK07,PK21,45
PK07,PK22,45
PK07,PK23,45
PK07,PK24,45
PK07,PK25,45
PK07,PK26,45
PK07,PK27,45
PK07,PK28,45
PK07,PK29,45
PK07,PK30,45
PK08,PK08,15
PK08,PK09,19
PK08,PK10,23
PK08,PK11,26
PK08,PK12,28
PK08,PK13,31
PK08,PK14,34
PK08,PK15,36
PK08,PK16,39
PK08,PK17,41
PK08,PK18,45
PK08,PK19,45
PK08,PK20,45
PK08,PK21,45
PK08,PK22,45
PK08,PK23,45
PK08,PK24,45
PK08,PK25,45
PK08,PK26,45
PK08,PK27,45
PK08,PK28,45
PK08,PK29,45
PK08,PK30,45
PK09,PK09,15
PK09,PK10,18
PK09,PK11,23
PK09,PK12,25
PK09,PK13,28
PK09,PK14,30
PK09,PK15,32
PK09,PK16,36
PK09,PK17,38
PK09,PK18,43
PK09,PK19,45
PK09,PK20,45
PK09,PK21,45
PK09,PK22,45
PK09,PK23,45
PK09,PK24,45
PK09,PK25,45
PK09,PK26,45
PK09,PK27,45
PK09,PK28,45
PK09,PK29,45
PK09,PK30,45
PK10,PK10,15
PK10,PK11,19
PK10,PK12,22
PK10,PK13,25
PK10,PK14,27
PK10,PK15,29
PK10,PK16,32
PK10,PK17,35
PK10,PK18,40
PK10,PK19,42
PK10,PK20,44
PK10,PK21,45
PK10,PK22,45
PK10,PK23,45
PK10,PK24,45
PK10,PK25,45
PK10,PK26,45
PK10,PK27,45
PK10,PK28,45
PK10,PK29,45
PK10,PK30,45
PK11,PK11,15
PK11,PK12,18
PK11,PK13,21
PK11,PK14,23
PK11,PK15,26
PK11,PK16,28
PK11,PK17,30
PK11,PK18,36
PK11,PK19,39
PK11,PK20,41
PK11,PK21,44
PK11,PK22,45
PK11,PK23,45
PK11,PK24,45
PK11,PK25,45
PK11,PK26,45
PK11,PK27,45
PK11,PK28,45
PK11,PK29,45
PK11,PK30,45
PK12,PK12,15
PK12,PK13,18
PK12,PK14,21
PK12,PK15,23
PK12,PK16,26
PK12,PK17,28
PK12,PK18,34
PK12,PK19,37
PK12,PK20,39
PK12,PK21,42
PK12,PK22,44
PK12,PK23,45
PK12,PK24,45
PK12,PK25,45
PK12,PK26,45
PK12,PK27,45
PK12,PK28,45
PK12,PK29,45
PK12,PK30,45
PK13,PK13,15
PK13,PK14,18
PK13,PK15,21
PK13,PK16,24
PK13,PK17,26
PK13,PK18,30
PK13,PK19,34
PK13,PK20,36
PK13,PK21,40
PK13,PK22,42
PK13,PK23,45
PK13,PK24,45
PK13,PK25,45
PK13,PK26,45
PK13,PK27,45
PK13,PK28,45
PK13,PK29,45
PK13,PK30,45
PK14,PK14,15
PK14,PK15,18
PK14,PK16,21
PK14,PK17,23
PK14,PK18,28
PK14,PK19,31
PK14,PK20,34
PK14,PK21,37
PK14,PK22,40
PK14,PK23,42
PK14,PK24,45
PK14,PK25,45
PK14,PK26,45
PK14,PK27,45
PK14,PK28,45
PK14,PK29,45
PK14,PK30,45
PK14,R05,0
PK15,PK15,15
PK15,PK16,18
PK15,PK17,21
PK15,PK18,26
PK15,PK19,29
PK15,PK20,31
PK15,PK21,35
PK15,PK22,37
PK15,PK23,40
PK15,PK24,43
PK15,PK25,45
PK15,PK26,45
PK15,PK27,45
PK15,PK28,45
PK15,PK29,45
PK15,PK30,45
PK16,PK16,15
PK16,PK17,17
PK16,PK18,23
PK16,PK19,26
PK16,PK20,28
PK16,PK21,31
PK16,PK22,35
PK16,PK23,37
PK16,PK24,41
PK16,PK25,44
PK16,PK26,45
PK16,PK27,45
PK16,PK28,45
PK16,PK29,45
PK16,PK30,45
PK16,N17,0
PK17,PK17,15
PK17,PK18,21
PK17,PK19,24
PK17,PK20,26
PK17,PK21,29
PK17,PK22,32
PK17,PK23,36
PK17,PK24,39
PK17,PK25,43
PK17,PK26,45
PK17,PK27,45
PK17,PK28,45
PK17,PK29,45
PK17,PK30,45
PK18,PK18,15
PK18,PK19,18
PK18,PK20,21
PK18,PK21,25
PK18,PK22,27
PK18,PK23,30
PK18,PK24,34
PK18,PK25,38
PK18,PK26,42
PK18,PK27,45
PK18,PK28,45
PK18,PK29,45
PK18,PK30,45
PK19,PK19,15
PK19,PK20,17
PK19,PK21,22
PK19,PK22,24
PK19,PK23,27
PK19,PK24,30
PK19,PK25,35
PK19,PK26,39
PK19,PK27,44
PK19,PK28,45
PK19,PK29,45
PK19,PK30,45
PK20,PK20,15
PK20,PK21,19
PK20,PK22,22
PK20,PK23,25
PK20,PK24,28
PK20,PK25,32
PK20,PK26,37
PK20,PK27,42
PK20,PK28,44
PK20,PK29,45
PK20,PK30,45
PK21,PK21,15
PK21,PK22,18
PK21,PK23,22
PK21,PK24,25
PK21,PK25,29
PK21,PK26,34
PK21,PK27,38
PK21,PK28,41
PK21,PK29,45
PK21,PK30,45
PK22,PK22,15
PK22,PK23,18
PK22,PK24,22
PK22,PK25,26
PK22,PK26,30
PK22,PK27,36
PK22,PK28,38
PK22,PK29,42
PK22,PK30,45
PK23,PK23,15
PK23,PK24,19
PK23,PK25,23
PK23,PK26,28
PK23,PK27,32
PK23,PK28,36
PK23,PK29,39
PK23,PK30,42
PK24,PK24,15
PK24,PK25,19
PK24,PK26,24
PK24,PK27,29
PK24,PK28,32
PK24,PK29,36
PK24,PK30,39
PK25,PK25,15
PK25,PK26,21
PK25,PK27,25
PK25,PK28,28
PK25,PK29,32
PK25,PK30,35
PK26,PK26,15
PK26,PK27,21
PK26,PK28,24
PK26,PK29,27
PK26,PK30,30
PK27,PK27,15
PK27,PK28,18
PK27,PK29,23
PK27,PK30,25
PK28,PK28,15
PK28,PK29,19
PK28,PK30,23
PK29,PK29,15
PK29,PK30,18
PK30,PK30,15
BL01,BL01,17
BL01,BL02,17
BL01,BL03,20
BL01,BL04,22
BL01,BL05,25
BL01,BL06,27
BL01,BL07,30
BL01,BL08,32
BL01,BL09,35
BL01,BL10,37
BL01,BL11,40
BL01,BL12,42
BL01,BL13,45
BL01,BL14,45
BL01,BL15,45
BL01,BL16,45
BL01,BL17,45
BL01,BL18,45
BL01,BL19,45
BL01,BL20,45
BL01,BL21,45
BL01,BL22,45
BL01,BL23,45
BL01,BL24,45
BL01,BL25,45
BL01,BL26,45
BL01,BL27,45
BL01,BL28,45
BL01,BL29,45
BL01,BL30,45
BL01,BL31,45
BL01,BL32,45
BL01,BL33,45
BL01,BL34,45
BL01,BL35,45
BL01,BL36,45
BL01,BL37,45
BL01,BL38,45
BL02,BL02,17
BL02,BL03,17
BL02,BL04,20
BL02,BL05,22
BL02,BL06,25
BL02,BL07,27
BL02,BL08,30
BL02,BL09,32
BL02,BL10,35
BL02,BL11,37
BL02,BL12,40
BL02,BL13,42
BL02,BL14,45
BL02,BL15,45
BL02,BL16,45
BL02,BL17,45
BL02,BL18,45
BL02,BL19,45
BL02,BL20,45
BL02,BL21,45
BL02,BL22,45
BL02,BL23,45
BL02,BL24,45
BL02,BL25,45
BL02,BL26,45
BL02,BL27,45
BL02,BL28,45
BL02,BL29,45
BL02,BL30,45
BL02,BL31,45
BL02,BL32,45
BL02,BL33,45
BL02,BL34,45
BL02,BL35,45
BL02,BL36,45
BL02,BL37,45
BL02,BL38,45
BL03,BL03,17
BL03,BL04,17
BL03,BL05,20
BL03,BL06,22
BL03,BL07,25
BL03,BL08,27
BL03,BL09,30
BL03,BL10,32
BL03,BL11,35
BL03,BL12,37
BL03,BL13,40
BL03,BL14,42
BL03,BL15,45
BL03,BL16,45
BL03,BL17,45
BL03,BL18,45
BL03,BL19,45
BL03,BL20,45
BL03,BL21,45
BL03,BL22,45
BL03,BL23,45
BL03,BL24,45
BL03,BL25,45
BL03,BL26,45
BL03,BL27,45
BL03,BL28,45
BL03,BL29,45
BL03,BL30,45
BL03,BL31,45
BL03,BL32,45
BL03,BL33,45
BL03,BL34,45
BL03,BL35,45
BL03,BL36,45
BL03,BL37,45
BL03,BL38,45
BL04,BL04,17
BL04,BL05,17
BL04,BL06,20
BL04,BL07,22
BL04,BL08,25
BL04,BL09,27
BL04,BL10,30
BL04,BL11,32
BL04,BL12,35
BL04,BL13,37
BL04,BL14,40
BL04,BL15,42
BL04,BL16,45
BL04,BL17,45
BL04,BL18,45
BL04,BL19,45
BL04,BL20,45
BL04,BL21,45
BL04,BL22,45
BL04,BL23,45
BL04,BL24,45
BL04,BL25,45
BL04,BL26,45
BL04,BL27,45
BL04,BL28,45
BL04,BL29,45
BL04,BL30,45
BL04,BL31,45
BL04,BL32,45
BL04,BL33,45
BL04,BL34,45
BL04,BL35,45
BL04,BL36,45
BL04,BL37,45
BL04,BL38,45
BL05,BL05,17
BL05,BL06,17
BL05,BL07,20
BL05,BL08,22
BL05,BL09,25
BL05,BL10,27
BL05,BL11,30
BL05,BL12,32
BL05,BL13,35
BL05,BL14,37
BL05,BL15,40
BL05,BL16,42
BL05,BL17,45
BL05,BL18,45
BL05,BL19,45
BL05,BL20,45
BL05,BL21,45
BL05,BL22,45
BL05,BL23,45
BL05,BL24,45
BL05,BL25,45
BL05,BL26,45
BL05,BL27,45
BL05,BL28,45
BL05,BL29,45
BL05,BL30,45
BL05,BL31,45
BL05,BL32,45
BL05,BL33,45
BL05,BL34,45
BL05,BL35,45
BL05,BL36,45
BL05,BL37,45
BL05,BL38,45
BL06,BL06,17
BL06,BL07,17
BL06,BL08,20
BL06,BL09,22
BL06,BL10,25
BL06,BL11,27
BL06,BL12,30
BL06,BL13,32
BL06,BL14,35
BL06,BL15,37
BL06,BL16,40
BL06,BL17,42
BL06,BL18,45
BL06,BL19,45
BL06,BL20,45
BL06,BL21,45
BL06,BL22,45
BL06,BL23,45
BL06,BL24,45
BL06,BL25,45
BL06,BL26,45
BL06,BL27,45
BL06,BL28,45
BL06,BL29,45
BL06,BL30,45
BL06,BL31,45
BL06,BL32,45
BL06,BL33,45
BL06,BL34,45
BL06,BL35,45
BL06,BL36,45
BL06,BL37,45
BL06,BL38,45
BL07,BL07,17
BL07,BL08,17
BL07,BL09,20
BL07,BL10,22
BL07,BL11,25
BL07,BL12,27
BL07,BL13,30
BL07,BL14,32
BL07,BL15,35
BL07,BL16,37
BL07,BL17,40
BL07,BL18,42
BL07,BL19,45
BL07,BL20,45
BL07,BL21,45
BL07,BL22,45
BL07,BL23,45
BL07,BL24,45
BL07,BL25,45
BL07,BL26,45
BL07,BL27,45
BL07,BL28,45
BL07,BL29,45
BL07,BL30,45
BL07,BL31,45
BL07,BL32,45
BL07,BL33,45
BL07,BL34,45
BL07,BL35,45
BL07,BL36,45
BL07,BL37,45
BL07,BL38,45
BL08,BL08,17
BL08,BL09,17
BL08,BL10,20
BL08,BL11,22
BL08,BL12,25
BL08,BL13,27
BL08,BL14,30
BL08,BL15,32
BL08,BL16,35
BL08,BL17,37
BL08,BL18,40
BL08,BL19,42
BL08,BL20,45
BL08,BL21,45
BL08,BL22,45
BL08,BL23,45
BL08,BL24,45
BL08,BL25,45
BL08,BL26,45
BL08,BL27,45
BL08,BL28,45
BL08,BL29,45
BL08,BL30,45
BL08,BL31,45
BL08,BL32,45
BL08,BL33,45
BL08,BL34,45
BL08,BL35,45
BL08,BL36,45
BL08,BL37,45
BL08,BL38,45
BL09,BL09,17
BL09,BL10,17
BL09,BL11,20
BL09,BL12,22
BL09,BL13,25
BL09,BL14,27
BL09,BL15,30
BL09,BL16,32
BL09,BL17,35
BL09,BL18,37
BL09,BL19,40
BL09,BL20,42
BL09,BL21,45
BL09,BL22,45
BL09,BL23,45
BL09,BL24,45
BL09,BL25,45
BL09,BL26,45
BL09,BL27,45
BL09,BL28,45
BL09,BL29,45
BL09,BL30,45
BL09,BL31,45
BL09,BL32,45
BL09,BL33,45
BL09,BL34,45
BL09,BL35,45
BL09,BL36,45
BL09,BL37,45
BL09,BL38,45
