node,name,lat,long
YL01,ลาดพร้าว,13.80642982,100.5750072
YL02,ภาวนา,13.80012557,100.5842341
YL03,โชคชัย 4,13.79444189,100.5943686
YL04,ลาดพร้าว 71,13.78730669,100.6071194
YL05,ลาดพร้าว 83,13.78366261,100.6137082
YL06,มหาดไทย,13.77846802,100.6229968
YL07,ลาดพร้าว 101,13.77436189,100.630346
YL08,บางกะปิ,13.76900551,100.6398288
YL09,แยกลำสาลี,13.76136618,100.6455157
YL10,ศรีกรีฑา,13.75075099,100.6449107
YL11,หัวหมาก,13.73639342,100.6412117
YL12,กลันตัน,13.72562422,100.6417311
YL13,ศรีนุช,13.71275518,100.6437371
YL14,ศรีนครินทร์ 38,13.7006041,100.6465562 
YL15,สวนหลวง ร.9,13.69078148,100.647094
YL16,ศรีอุดม,13.67777167,100.645997
YL17,ศรีเอี่ยม,13.66634997,100.6443597
YL18,ศรีลาซาล,13.65530687,100.6424091
YL19,ศรีแบริ่ง,13.64460291,100.6368599
YL20,ศรีด่าน,13.63208596,100.6293778
YL21,ศรีเทพา,13.62802767,100.6265887
YL22,ทิพวัล,13.63740875,100.6087068
YL23,สำโรง,13.64515006,100.5965004
S1,สนามกีฬาแห่งชาติ,13.74647463,100.5290752
S2,สยาม,13.74561481,100.5341278
S3,ราชดำริ,13.73945608,100.5394339
S4,ศาลาแดง,13.72848075,100.5341183
S5,ช่องนนทรี,13.7237346,100.5294318
S6,เซนต์หลุยส์,13.72091212,100.5269044
S7,สุรศักดิ์,13.71923133,100.5215091
S8,สะพานตากสิน,13.71880854,100.5141209
S9,กรุงธนบุรี,13.7208543,100.5027174
S10,วงเวียนโหญ่,13.72105806,100.4952237
S11,โพธิ์นิมิตร,13.71916375,100.4857932
S12,ตลาดพลู,13.71421246,100.4768261
S13,วุฒากาศ,13.7130771,100.4688404
S14,บางหว้า,13.72059099,100.4577571
PP01,คลองบางไผ่ ,13.89297159,100.4092394
PP02,ตลาดบางใหญ่ ,13.87632872,100.435392
PP03,สามแยกบางใหญ่ ,13.87466597,100.4193745
PP04,บางพลู ,13.87600493,100.4342464
PP05,บางรักใหญ่,13.87664263,100.4449181
PP06,บางรักน้อยท่าอิฐ,13.87464429,100.4562326
PP07,ไทรม้า,13.8705498,100.4666152
PP08,สะพานพระนั่งเกล้า,13.87031891,100.4803473
PP09,แยกนนทบุรี,13.8660961,100.4940671
PP10,บางกระสอ,13.86172266,100.5044636
PP11,ศูนย์ราชการนนทบุรี ,13.8601606,100.513243
PP12,กระทรวงสาธารณสุข,13.84873406,100.5152157
